Name,ID
GOLS1,AT2G47180
GOLS2,AT1G56600
GOLS3,AT1G09350
GOLS4,AT1G60470
GOLS7,AT1G60450
GOLS8,AT3G28340
RS1,AT1G55740
RS2,AT3G57520
RS4,AT4G01970
RS5,AT5G40390
RS6,AT5G20250
GALK,AT3G06580
FT,AT1G65480
TSF,AT4G20370
GI,AT1G22770
SOC1,AT2G45660
FD,AT4G35900
CO,AT5G15840
LFY,AT5G61850
VAS2,AT1G28130
WES1,AT4G27260
TFL1,AT5G03840
